index,file,lg,model,precision,recall,f1_score
0,Bear01_07-17s_vocals,fr,cascade,0.8888888888888888,0.7547169811320755,0.8163265306122449
1,Bear01_07-17s_vocals,es,cascade,0.7413793103448276,0.8113207547169812,0.7747747747747747
19,Bear01_07-17s_vocals,es,seamless,0.8181818181818182,0.8490566037735849,0.8333333333333334
18,Bear01_07-17s_vocals,fr,seamless,1.0,0.8867924528301887,0.94
2,Bear02_72-78s_vocals,fr,cascade,1.0,1.0,1.0
3,Bear02_72-78s_vocals,es,cascade,0.8529411764705882,0.935483870967742,0.8923076923076922
21,Bear02_72-78s_vocals,es,seamless,0.8181818181818182,0.8709677419354839,0.84375
20,Bear02_72-78s_vocals,fr,seamless,0.7567567567567568,0.9032258064516128,0.823529411764706
22,Bear03_97-119s_vocals,fr,seamless,0.0426829268292682,1.0,0.0818713450292397
23,Bear03_97-119s_vocals,es,seamless,0.0440251572327044,1.0,0.0843373493975903
5,Bear03_97-119s_vocals,es,cascade,0.0406976744186046,1.0,0.0782122905027933
4,Bear03_97-119s_vocals,fr,cascade,0.0384615384615384,1.0,0.074074074074074
25,Dead01_233-243s_vocals,es,seamless,0.0566037735849056,0.75,0.1052631578947368
24,Dead01_233-243s_vocals,fr,seamless,0.0588235294117647,1.0,0.1111111111111111
7,Dead01_233-243s_vocals,es,cascade,0.0625,1.0,0.1176470588235294
6,Dead01_233-243s_vocals,fr,cascade,0.0689655172413793,1.0,0.1290322580645161
8,Dead02_142-154s_vocals,fr,cascade,0.5632183908045977,0.98,0.7153284671532847
27,Dead02_142-154s_vocals,es,seamless,0.2022471910112359,0.72,0.3157894736842105
26,Dead02_142-154s_vocals,fr,seamless,0.6081081081081081,0.9,0.7258064516129032
9,Dead02_142-154s_vocals,es,cascade,0.5340909090909091,0.94,0.681159420289855
31,Ocean01_19-27s_vocals,es,seamless,0.7272727272727273,0.8888888888888888,0.7999999999999999
30,Ocean01_19-27s_vocals,fr,seamless,0.7692307692307693,0.7407407407407407,0.7547169811320754
13,Ocean01_19-27s_vocals,es,cascade,0.7741935483870968,0.8888888888888888,0.8275862068965517
12,Ocean01_19-27s_vocals,fr,cascade,0.7272727272727273,0.8888888888888888,0.7999999999999999
33,Ocean02_29-37s_vocals,es,seamless,0.9824561403508772,0.9491525423728814,0.9655172413793104
14,Ocean02_29-37s_vocals,fr,cascade,0.9824561403508772,0.9491525423728814,0.9655172413793104
32,Ocean02_29-37s_vocals,fr,seamless,0.847457627118644,0.847457627118644,0.847457627118644
15,Ocean02_29-37s_vocals,es,cascade,0.75,0.864406779661017,0.8031496062992127
17,Ocean03_232-237s_vocals,es,cascade,0.53125,0.6296296296296297,0.5762711864406779
16,Ocean03_232-237s_vocals,fr,cascade,0.7666666666666667,0.8518518518518519,0.8070175438596491
34,Ocean03_232-237s_vocals,fr,seamless,0.6428571428571429,0.6666666666666666,0.6545454545454545
35,Ocean03_232-237s_vocals,es,seamless,0.8260869565217391,0.7037037037037037,0.76
