model,lg,file,score
cascade,es,Bear01_07-17s_vocals,5
cascade,es,Bear02_72-78s_vocals,6
cascade,es,Bear03_97-119s_vocals,41
cascade,es,Dead01_233-243s_vocals,80
cascade,es,Dead02_142-154s_vocals,55
cascade,es,Lynx01_67-77s_vocals,26
cascade,es,Ocean01_19-27s_vocals,2
cascade,es,Ocean02_29-37s_vocals,7
cascade,es,Ocean03_232-237s_vocals,26
cascade,fr,Bear01_07-17s_vocals,44
cascade,fr,Bear02_72-78s_vocals,43
cascade,fr,Bear03_97-119s_vocals,124
cascade,fr,Dead01_233-243s_vocals,176
cascade,fr,Dead02_142-154s_vocals,150
cascade,fr,Lynx01_67-77s_vocals,32
cascade,fr,Ocean01_19-27s_vocals,90
cascade,fr,Ocean02_29-37s_vocals,71
seamless,es,Bear01_07-17s_vocals,26
seamless,es,Bear02_72-78s_vocals,25
seamless,es,Bear03_97-119s_vocals,26
seamless,es,Dead01_233-243s_vocals,27
seamless,es,Dead02_142-154s_vocals,25
seamless,es,Lynx01_67-77s_vocals,25
seamless,es,Ocean01_19-27s_vocals,50
seamless,es,Ocean02_29-37s_vocals,1
seamless,es,Ocean03_232-237s_vocals,25
seamless,fr,Bear01_07-17s_vocals,37
seamless,fr,Bear02_72-78s_vocals,46
seamless,fr,Bear03_97-119s_vocals,47
seamless,fr,Dead01_233-243s_vocals,87
seamless,fr,Dead02_142-154s_vocals,136
seamless,fr,Lynx01_67-77s_vocals,51
seamless,fr,Ocean01_19-27s_vocals,2
seamless,fr,Ocean02_29-37s_vocals,57
seamless,fr,Ocean03_232-237s_vocals,56
